Author,Commit,Message,Date
Muhammad Rafidan,72f1e59,Pembuatan Layout Register,2019‑02‑20
Ichwan Habibie,d593dd6,Perbaikan Layout Lupa Password (ref #b2c1ab2),2019‑02‑20
Fahri Hamzalah,a0ed897,Perbaikan Layout Ubah Profile (ref #2bd349f),2019‑02‑20
Fahri Hamzalah,2bd349f,Pembuatan Layout Ubah Profil,2019‑02‑20
Ayuvira Kusuma,95fe5b8,Layout Ubah Password,2019‑02‑20
Ichwan Habibie,b2c1ab2,Perbaikan Layout Forget Password (ref #49aeea0),2019‑02‑19
Ichwan Habibie,49aeea0,forget password,2019‑02‑19
Ian Dzillan Malik,fecb2b1,Add Login Layout,2019‑02‑19
Ian Dzillan Malik,47cae86,Ongoing Login,2019‑02‑19
Ian Dzillan Malik,683f8c4,Buat SplashScreen,2019‑02‑18
